run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
sync,1783598206.2902157,735.943444781,51.68761562961433,52.31175826147497,45.71687427138073,38.490418219156574,49.38698080422768,53.23929143400922,45.02120822193487,49.42152986215787,501.705,485.964,458.652,457.297,476.103,507.337,462.622,470.962
sync,1783598221.090321,750.743550116,,,,,,,,,,,,,,,,
sync,1783598221.2907758,750.944004735,57.624786432495135,52.350748241801824,58.876851308458555,48.10266180375587,53.53536493179115,57.31793132577015,80.99844918903915,44.61782040393232,684.518,623.595,678.199,556.084,629.907,668.516,876.272,543.413
sync,1783598236.0904143,765.743643351,,,,,,,,,,,,,,,,
sync,1783598236.2910538,765.944282668,54.957692780323164,54.157372306985295,53.621078499365595,53.286870224325924,53.1640049058522,58.41756814009468,54.395896568165426,52.680574472496254,560.128,523.695,515.173,492.812,519.089,562.24,532.547,503.447
sync,1783598251.089526,780.742755035,,,,,,,,,,,,,,,,
sync,1783598251.330463,780.983691881,0,0,0,0,0,0,0,0,520.622,433.59,447.814,487.917,479.992,470.446,449.209,503.82
sync,1783598266.0896175,795.742846538,,,,,,,,,,,,,,,,
sync,1783598266.3033125,795.956541476,56.97685185932867,57.775607861405135,59.39092962247482,61.27356242419615,51.940087377813605,58.913764375347974,62.38092276293479,60.189429677598504,565.325,544.55,559.855,571.845,517.994,565.388,592.387,592.547
sync,1783598281.0900319,810.743260952,,,,,,,,,,,,,,,,
sync,1783598281.290532,810.94376118,79.554530040579,73.49426164556813,74.47315927404495,80.01988961075004,76.83486236955946,70.92405838197416,73.78761112401658,71.68378427737734,590.554,547.565,571.609,538.625,581.984,527.666,583.247,587.022
sync,1783598296.0900104,825.743239433,,,,,,,,,,,,,,,,
sync,1783598296.2956622,825.948891064,68.07209391827207,66.38774377584072,67.58889585456122,67.09038254174267,66.41119083565201,67.16483301288805,66.9820748607111,66.27231494770712,599.253,580.642,580.852,578.35,583.808,579.231,605.866,606.843
sync,1783598311.0900424,840.743271235,,,,,,,,,,,,,,,,
sync,1783598311.290514,840.94374294,51.26384062700763,0,47.15766955055927,52.93765175991516,39.720694516341624,51.633187360367494,46.39351231154116,46.18952382194539,498.006,359.89,464.789,495.855,463.79,486.049,463.35,480.916
sync,1783598326.0904236,855.74365258,,,,,,,,,,,,,,,,
sync,1783598326.3319423,855.985171417,48.928259694389844,48.4872416920337,61.0694491127563,88.66703220085206,70.68190608626936,74.7444994334382,63.497559908962444,66.88367684985927,755.715,557.568,652.291,880.091,752.613,781.569,732.486,701.021
sync,1783598341.0900452,870.743274106,,,,,,,,,,,,,,,,
sync,1783598341.2905002,870.943729277,54.479918646378,53.772867061927876,52.78629460968124,53.850777120484054,53.900183710393456,54.11698218335287,54.32536610389514,53.56883463944854,524.271,512.254,533.898,519.761,538.119,520.223,513.523,521.245
sync,1783598356.0894046,885.74263366,,,,,,,,,,,,,,,,
sync,1783598356.2897065,885.942935531,0,0,0,0,0,0,0,0,246.987,244.196,240.195,240.84,245.141,243.3,240.767,242.479
sync,1783598371.089765,900.742994145,,,,,,,,,,,,,,,,
sync,1783598371.2903292,900.943558218,64.15513142826678,63.75136364485382,63.68878199276104,62.93364156238835,60.048371415464686,63.60553667461903,63.60312257994358,56.01367127087382,616.891,606.395,590.806,602.118,591.593,603.849,599.875,557.859
sync,1783598386.090194,915.743422991,,,,,,,,,,,,,,,,
sync,1783598386.468073,916.121301828,0,0,0,0,0,0,0,0,248.848,271.721,242.34,301.568,246.759,246.42,351.812,244.572
sync,1783598401.0901241,930.743353191,,,,,,,,,,,,,,,,
sync,1783598401.3031354,930.956364333,0,0,0,0,0,0,0,0,248.989,245.837,241.363,242.278,247.032,245.223,242.667,244.398
sync,1783598416.0896199,945.74284891,,,,,,,,,,,,,,,,
sync,1783598416.2900572,945.943286124,51.60735544408242,54.47694101563424,53.92375431683107,52.990419508352936,53.601145507523775,54.229190440717566,54.29899491485526,51.944571314786934,503.397,545.088,522.893,506.384,533.57,525.552,515.997,499.201
sync,1783598431.0900545,960.743283566,,,,,,,,,,,,,,,,
sync,1783598431.3008335,960.954062512,0.5696038099712497,1.4521291039677455,0,7.373173609422599,1.271615351641453,0.6541660792839082,1.4548080504206216,7.703038396097823,334.515,366.062,351.795,327.171,358.359,349.863,370.077,321.346
sync,1783598446.0895457,975.742774626,,,,,,,,,,,,,,,,
sync,1783598446.291071,975.944300011,63.282841138520716,59.817587171620524,63.20215142834373,61.70275754086687,57.61243495703094,57.94719701713209,61.95018508351857,59.01613337390985,623.576,575.621,602.149,598.068,556.929,557.076,597.889,567.851
sync,1783598461.0900466,990.743275611,,,,,,,,,,,,,,,,
sync,1783598461.4194508,991.072679812,0,0,0,0,0,0,0,0,249.006,245.424,378.518,241.832,246.78,244.816,242.202,244.244
sync,1783598476.0903258,1005.743554834,,,,,,,,,,,,,,,,
sync,1783598476.2908056,1005.944034511,67.3128939826333,66.69567673976914,66.76531910113151,66.17756214896852,65.8295778313677,66.78393519822139,66.91760902905057,66.8880899286995,563.247,547.695,540.377,538.507,564.906,551.398,580.556,591.049
sync,1783598491.0901556,1020.743384592,,,,,,,,,,,,,,,,
sync,1783598491.2906077,1020.943836738,0,53.05784709943207,54.69712020837617,46.29610430302479,51.03455383306934,51.50507775565782,52.34242546474351,51.51748152026276,464.629,496.029,514.762,465.835,482.634,491.423,489.883,496.98
sync,1783598506.0899172,1035.743146239,,,,,,,,,,,,,,,,
sync,1783598506.2903466,1035.943575691,61.366980230083534,76.8799943234735,54.94131403303092,63.14135696345126,79.94612531312228,81.87623008938158,72.77812710128758,68.71663761171372,689.5,835.67,609.628,726.934,888.485,851.039,788.977,736.225
sync,1783598521.089979,1050.743207815,,,,,,,,,,,,,,,,
sync,1783598521.2904038,1050.943632921,60.7054265330202,64.4533843117744,61.523149079591924,64.0512523756994,59.898967189469886,67.59848272836645,64.32931633941385,67.96306892704813,684.453,649.112,663.254,641.851,659.131,674.942,649.438,662.455
sync,1783598536.089513,1065.74274206,,,,,,,,,,,,,,,,
sync,1783598536.2898626,1065.943091653,64.22441676851405,68.63585854481919,64.35309287265885,68.6410246572672,66.44169179534414,69.76755886800377,70.72783439101623,71.10818194903963,734.256,701.162,716.815,720.738,738.226,724.688,725.107,740.621
sync,1783598551.0894792,1080.742708314,,,,,,,,,,,,,,,,
sync,1783598551.2899885,1080.943217535,79.43083433991282,78.66204058886697,78.77629838211652,79.16098376394054,76.00336429939925,79.0545902398664,76.29518433126455,78.04183399961671,880.902,858.082,865.212,854.116,858.234,863.19,845.848,876.417
sync,1783598566.0898542,1095.743083259,,,,,,,,,,,,,,,,
sync,1783598566.297212,1095.950440907,78.13649544792544,77.71883839207393,77.84254036847958,66.89552578717138,65.38476236753235,78.29025663817747,76.71404389097388,76.3584916053092,836.533,806.296,803.012,766.727,752.769,826.204,799.879,800.091
sync,1783598581.0901937,1110.743422772,,,,,,,,,,,,,,,,
sync,1783598581.2905264,1110.943755429,76.44737489270548,57.321773636585014,74.88145891903402,57.692818982848074,74.3492046546601,62.918768110638624,58.4780821117468,59.12205712735835,834.036,724.756,797.927,742.743,821.038,760.987,746.98,752.971
sync,1783598596.0901122,1125.743341124,,,,,,,,,,,,,,,,
sync,1783598596.290573,1125.943801953,0,0,0,0,0,0,0,0,247.302,244.338,240.031,240.84,245.075,243.774,240.929,242.718
sync,1783598611.0904045,1140.743633456,,,,,,,,,,,,,,,,
sync,1783598611.2909656,1140.944194605,66.3537350387729,68.63984465465819,58.901565066865636,65.97492177235827,65.9987884007821,61.610611661697746,65.6271273555514,62.458582132504326,678.411,653.149,673.022,692.237,676.892,658.767,698.513,665.296
sync,1783598626.0895553,1155.742784146,,,,,,,,,,,,,,,,
sync,1783598626.289936,1155.943165096,0,0,71.12008064167506,74.64903525695182,73.09316246996862,44.81614843501941,74.29988782000186,63.16444856735116,291.108,579.92,776.889,767.579,768.654,691.022,760.454,720.978
sync,1783598641.0900385,1170.743267575,,,,,,,,,,,,,,,,
sync,1783598641.2903435,1170.943572581,0,39.16809956999284,38.682378634404614,37.92603110825429,37.730001026160586,0,0,37.70853405486906,246.777,465.982,449.665,461.567,463.172,243.276,240.483,486.729
sync,1783598656.089948,1185.743177033,,,,,,,,,,,,,,,,
sync,1783598656.2903898,1185.943618754,0,0,0,0,0,0,0,0,245.952,243.206,239.703,240.178,244.51,242.315,239.533,242.005
sync,1783598671.0900753,1200.743304268,,,,,,,,,,,,,,,,
sync,1783598671.2904553,1200.943684236,0,0,0,0,0,0,0,0,245.506,242.486,239.025,239.477,243.604,241.863,239.117,241.404
sync,1783598686.0903049,1215.743533836,,,,,,,,,,,,,,,,
sync,1783598686.2907481,1215.943977229,0,0,0,0,0,0,0,0,245.341,242.333,238.634,238.991,243.172,241.714,238.873,241.169
sync,1783598701.089508,1230.742737005,,,,,,,,,,,,,,,,
sync,1783598701.3842223,1231.037451384,52.87022196640366,54.99040734168056,52.78648799882271,54.43585980607234,54.58911178105041,54.92879261565914,50.10211730214126,54.33652698642707,506.726,535.917,489.838,529.531,532.112,527.89,472.097,552.367
sync,1783598716.0904508,1245.743679672,,,,,,,,,,,,,,,,
sync,1783598716.299459,1245.952687954,0,0.9877811531794203,0,0,0,0,0,0,366.531,323.722,333.327,351.764,345.522,351.418,324.319,337.442
sync,1783598731.089575,1260.742804013,,,,,,,,,,,,,,,,
sync,1783598731.2900195,1260.943248528,61.47589087830624,64.44228649624169,63.14209667094435,63.8491624406089,60.95805844655114,62.12450260924422,60.49633108049214,62.136876917950175,630.84,607.072,618.532,627.207,621.401,629.805,616.526,630.853
sync,1783598746.0894723,1275.742701193,,,,,,,,,,,,,,,,
sync,1783598746.289954,1275.943182833,0,0,53.065030673337056,51.43705976906252,54.35183974733655,51.76549886572152,51.54669720300529,0,247.109,365.328,488.225,490.112,531.467,487.339,489.701,242.787
sync,1783598761.0899222,1290.743151222,,,,,,,,,,,,,,,,
sync,1783598761.3043118,1290.957540771,0,0,0,0,0,0,0,0,248.751,245.424,242.015,242.897,246.44,245.403,242.308,243.996
sync,1783598776.0900395,1305.743268591,,,,,,,,,,,,,,,,
