run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
streamweave,1783609911.582232,2882.399776104,,,,,,,,,,,,,,,,
streamweave,1783609911.782612,2882.6001561,0,0,64.17212584894015,70.76222360845837,68.67325384715183,61.09888934858327,67.02232992144963,41.917755122815095,249.172,245.965,666.169,691.504,629.232,637.152,671.769,648.362
streamweave,1783609926.5827105,2897.400254394,,,,,,,,,,,,,,,,
streamweave,1783609926.7831292,2897.600673203,0,0,73.61380708130912,74.11745138620547,78.54698076388803,56.18484368019546,79.01463134140013,73.01430338347507,246.743,243.366,655.257,688.603,694.092,626.856,668.86,703.178
streamweave,1783609941.5827725,2912.400316597,,,,,,,,,,,,,,,,
streamweave,1783609941.7830622,2912.600606253,0,0,66.87043006563056,67.90442914412107,66.77383693812286,67.28220975144507,66.64334106102831,66.65760086648852,245.97,242.636,550.825,578.224,598.036,606.289,598.42,595.632
streamweave,1783609956.5823104,2927.399854375,,,,,,,,,,,,,,,,
streamweave,1783609956.8121634,2927.629707295,0,0,80.99989807123292,80.29951874155581,0,80.26590729071104,80.10458050491751,80.70463973513982,245.672,242.29,801.37,781.906,395.515,806.261,785.393,806.678
streamweave,1783609971.5827527,2942.400296628,,,,,,,,,,,,,,,,
streamweave,1783609971.7831738,2942.600717761,0,0,72.44495433415156,73.81978328695251,72.1754326171179,72.36489368235351,69.49823049515646,71.92824550451472,245.408,242.103,636.901,645.641,656.459,649.877,612.95,642.104
streamweave,1783609986.5821426,2957.399686666,,,,,,,,,,,,,,,,
streamweave,1783609986.7825933,2957.600137328,0,0,70.09809461076058,68.56107382484359,67.85959453772159,67.62315306156742,67.389882058795,66.8706929406418,245.303,241.926,610.015,587.716,573.037,588.288,558.736,597.65
streamweave,1783610001.5821896,2972.399733456,,,,,,,,,,,,,,,,
streamweave,1783610001.782557,2972.600101083,0,0,82.70433780332942,78.93831195846074,81.67364111865403,73.67138860928057,82.96286416998606,80.32711536388209,245.079,241.844,809.72,815.023,826.269,778.211,818.173,821.116
streamweave,1783610016.582083,2987.399626936,,,,,,,,,,,,,,,,
streamweave,1783610016.7825928,2987.600136837,0,0,75.11500969689065,75.83340949891158,74.67525438547727,72.29430976697886,69.9336898646246,75.19483289494232,245.028,241.739,659.127,653.524,661.118,686.875,658.23,664.942
streamweave,1783610031.582704,3002.400248078,,,,,,,,,,,,,,,,
streamweave,1783610031.783251,3002.600794953,0,0,72.1046713284006,73.2008868846178,70.61090521998237,69.71388575609907,66.80247456812138,67.30528336016964,245.013,241.714,646.718,657.421,625.108,617.2,592.545,584.553
streamweave,1783610046.5823178,3017.399861778,,,,,,,,,,,,,,,,
streamweave,1783610046.7837307,3017.601274783,0,0,59.702444418305646,55.76087148888419,12.73699006306106,58.130464555000735,0,56.471439968669166,245.135,241.593,520.831,512.638,490.377,523.173,263.012,517.061
streamweave,1783610061.5821416,3032.399685564,,,,,,,,,,,,,,,,
streamweave,1783610061.7824204,3032.599964388,0,0,0,0,0,0,0,0,244.898,241.708,239.383,239.771,244.036,242.55,239.698,241.76
streamweave,1783610076.582891,3047.400435008,,,,,,,,,,,,,,,,
streamweave,1783610076.7833097,3047.600853671,0,0,0,0,0,0,0,0,244.908,241.603,238.956,239.316,243.523,241.982,239.142,241.41
streamweave,1783610091.5822093,3062.399753305,,,,,,,,,,,,,,,,
streamweave,1783610091.7826235,3062.600167542,0,0,77.45715546780292,77.94019924672132,77.35885882981742,77.75727577079437,77.45633956901533,77.43984214477614,245.068,241.656,603.332,598.23,600.348,612.538,602.365,601.953
streamweave,1783610106.5828464,3077.400390451,,,,,,,,,,,,,,,,
