run_alias,_step,_timestamp,_runtime,groups,training_time_s,generation_or_interface_time_s,parameter_sync_time_s,rl_groups,expert_groups,carryover_discarded_groups,queue_size,partial_rollouts,validation_time_s
streamweave,32,1783611589.9295056,4677.08494491,411,89.55782530177385,3.2164090778678656,2.1764545431360602,307,104,0,281.5,13,
streamweave,33,1783611708.758005,4791.516532374,482,119.29223828949034,3.306390962563455,2.1053596567362547,370,112,0,264.5,91,
streamweave,34,1783611823.198263,4897.350047921,475,117.47891413606703,3.6253191279247403,2.3702617222443223,371,104,0,264.25,71,
streamweave,35,1783612124.032568,5192.989874734,450,101.84367385879159,3.3029667418450117,2.9716326538473368,338,112,0,269.25,107,194.99000381678343
streamweave,36,1783612224.670902,5291.994173767,443,103.71801040973514,3.2974704317748547,2.119560519233346,339,104,0,269.5,85,
streamweave,37,1783612323.6721315,5388.650732876,436,96.01143349893391,2.878338354639709,2.6579498341307044,340,96,0,274.75,0,
streamweave,38,1783612420.3173766,5497.517335335,443,96.62323272693902,3.246749403886497,2.20678342692554,339,104,0,270,61,
streamweave,39,1783612529.1853848,5601.396034043,475,108.42854192014784,3.0521622067317367,2.08142271079123,371,104,0,266.25,79,
streamweave,40,1783612843.9798868,5926.997085033,475,107.94470983278006,3.0586732011288404,2.0891875121742487,371,104,0,266.5,5,200.976497258991
streamweave,41,1783612958.6846108,6043.048443664,443,106.32908874563873,2.9628412621095777,2.919778235256672,339,104,0,273.5,101,
streamweave,42,1783613074.736472,6138.620547335,475,120.72307132463902,3.663882506079972,2.1483497573062778,371,104,0,265.5,38,
streamweave,43,1783613170.3026462,6231.415213725,468,98.58951827790588,3.5468400036916137,2.087320755235851,372,96,0,270.75,43,
streamweave,44,1783613263.0735323,6324.330991123,475,90.26879112515599,3.330043565481901,2.1198469642549753,371,104,0,262.75,203,
streamweave,45,1783613532.97163,6578.595995092,475,91.67823702841997,3.5117223635315895,2.1321935849264264,371,104,0,267.5,47,176.96111410390586
streamweave,46,1783613610.225854,6667.066213602,404,78.97179123666137,3.5560357002541423,2.133292724378407,308,96,0,257,0,
streamweave,47,1783613698.7381644,6754.557864545,457,85.28325307089835,3.44849166367203,2.1222273223102093,337,120,0,259.75,114,
streamweave,48,1783613786.1532624,6851.163861242,475,94.02540693245828,3.2273624716326594,2.322355914860964,371,104,0,271.25,13,
