run_alias,history_index,groups,training_time_s,power_samples,mean_power_watts,throughput_groups_per_s,energy_per_group_joules,trimmed_energy_per_group_joules
streamweave,37,436,96.011433,6,5350.785333,4.541126,1178.294886,1131.276020
streamweave,38,443,96.623233,7,5168.962429,4.584819,1127.408261,1156.522820
streamweave,39,475,108.428542,7,5453.870286,4.380765,1244.958322,1241.328891
streamweave,41,443,106.329089,7,5020.297714,4.166311,1204.974450,1263.191206
streamweave,42,475,120.723071,7,5319.882714,3.934625,1352.068590,1314.160043
streamweave,43,468,98.589518,7,4786.960857,4.746955,1008.427703,1013.352743
streamweave,44,475,90.268791,6,5090.471333,5.262062,967.390934,950.160411
streamweave,46,404,78.971791,5,4258.604400,5.115751,832.449549,804.608526
streamweave,47,457,85.283253,6,5059.511667,5.358614,944.182963,915.191851
streamweave,48,475,94.025407,6,5123.900167,5.051826,1014.266944,1018.380423
streamweave,49,450,90.154067,6,4811.357667,4.991455,963.918800,872.961728
streamweave,51,482,91.984329,6,4894.117333,5.240023,933.987762,915.310871
streamweave,52,461,91.917064,6,4818.533000,5.015391,960.749252,894.440063
streamweave,53,411,85.949619,6,4768.365500,4.781871,997.175668,1091.491207
streamweave,54,454,92.021878,6,5023.513667,4.933609,1018.222818,1005.250842
streamweave,56,443,85.808256,5,5305.220400,5.162673,1027.611081,1035.706809
streamweave,57,482,91.358926,7,4413.119286,5.275894,836.468546,1017.713229
streamweave,58,468,103.328908,7,5472.675571,4.529226,1208.302544,1212.563279
streamweave,59,475,118.512079,7,5211.959143,4.008030,1300.379188,1318.563147
streamweave,61,468,100.078782,7,5315.640714,4.676316,1136.715492,1183.480444
streamweave,62,475,103.072434,7,5111.047857,4.608410,1109.069769,1103.454631
streamweave,63,468,103.961096,7,5248.535429,4.501684,1165.904903,1155.627854
streamweave,64,475,99.142077,6,5319.822167,4.791104,1110.354149,1082.909657
streamweave,66,443,96.018030,6,5091.068333,4.613717,1103.463544,1177.309031
streamweave,67,397,79.583801,6,5274.862667,4.988452,1057.414665,1097.707038
streamweave,68,454,112.841217,8,5367.795500,4.023353,1334.159855,1359.085337
streamweave,69,450,115.643977,7,5124.242000,3.891253,1316.861614,1323.594715
streamweave,71,475,122.734684,8,5378.916750,3.870137,1389.851893,1377.901346
streamweave,72,475,112.780654,8,5410.029250,4.211715,1284.519235,1277.802554
streamweave,73,468,127.892772,8,5630.759250,3.659315,1538.746601,1552.059314
streamweave,74,457,128.714353,9,5385.695889,3.550498,1516.884818,1555.225632
streamweave,76,489,113.633301,8,4452.988375,4.303316,1034.780711,1080.783791
streamweave,77,447,101.501334,6,5207.597000,4.403883,1182.501219,1204.062248
streamweave,78,450,108.406211,7,5407.950857,4.151054,1302.789915,1283.846084
streamweave,79,468,116.445987,7,5100.241429,4.019031,1269.022754,1222.090436
streamweave,81,461,105.324681,7,4849.366571,4.376942,1107.934898,1203.075077
streamweave,82,443,89.210232,6,5224.787667,4.965798,1052.154674,1071.392887
streamweave,83,461,101.571263,7,4835.728857,4.538685,1065.447040,1149.188457
streamweave,84,475,148.176052,10,3033.689800,3.205646,946.358268,874.282107
streamweave,86,461,442.437841,20,2927.621850,1.041954,2809.741192,2733.982573
streamweave,87,447,192.087708,7,5166.211714,2.327062,2220.057646,2152.620544
streamweave,88,436,96.739149,7,5108.388000,4.506965,1133.442906,1126.832916
streamweave,89,468,107.517675,7,5572.553000,4.352773,1280.230646,1302.285737
streamweave,91,450,139.905486,9,5533.962556,3.216457,1720.514936,1721.203321
streamweave,92,475,149.535082,10,5041.972800,3.176512,1587.266977,1615.918985
streamweave,93,461,115.855035,7,5025.895286,3.979111,1263.070008,1267.729922
streamweave,94,475,94.042852,6,5354.723000,5.050889,1060.154572,1026.679871
streamweave,96,443,83.664050,5,4976.293200,5.294986,939.812287,1001.466736
streamweave,97,411,79.910873,6,4566.392500,5.143230,887.845287,989.346192
streamweave,98,454,91.492900,6,5269.128333,4.962134,1061.867470,1070.080100
streamweave,99,425,87.102091,5,5022.565800,4.879332,1029.355257,1135.000229
streamweave,101,468,100.663154,7,4837.241143,4.649169,1040.452880,1085.032431
streamweave,102,468,91.674797,6,4918.981333,5.105002,963.561145,903.151845
streamweave,103,461,93.010588,6,5355.181667,4.956425,1080.452480,1078.017072
streamweave,104,461,94.088779,7,4341.972857,4.899628,886.184214,959.128763
streamweave,106,482,94.389271,6,4956.375167,5.106513,970.598838,890.815931
streamweave,107,429,79.555012,6,5053.318833,5.392495,937.102192,1037.130921
streamweave,108,468,85.773843,6,4758.258500,5.456209,872.081452,896.894469
streamweave,109,443,81.160952,5,4724.570400,5.458290,865.577050,781.775331
streamweave,111,461,86.607097,6,4251.707000,5.322889,798.759217,818.893160
streamweave,112,461,86.283519,6,4761.637333,5.342851,891.216538,848.110043
streamweave,113,468,88.851146,6,4692.983667,5.267236,890.976449,871.950928
streamweave,114,461,86.144987,6,4916.046833,5.351443,918.639460,981.409055
