run,cycle,groups,time_s,request_mean_s,request_max_s,generation_phase_s
sync,28,128,44.38284348975867,8.500584979286032,24.250407150015235,26.033995925448835
sync,29,128,50.69230505358428,10.13066454572072,26.318086866289377,27.455127891153097
sync,30,128,47.11952836625278,9.994685775199287,25.101797617971897,26.409783529117703
sync,31,128,45.438909956254065,9.562635142076942,25.086567820049822,26.54638507962227
sync,32,128,49.19427892938256,10.140626772817086,25.780257425270975,27.104239095002413
sync,33,128,49.075493020005524,9.569625056526093,25.757577205076814,27.08395075146109
sync,34,128,46.06694272533059,8.1285435850059,24.336965835653245,26.057917973957956
sync,35,128,45.956713621504605,8.133560639153984,24.672820524312556,25.916517320089042
sync,36,128,48.62203985173255,8.470953587479926,24.62038660980761,27.504144048318267
sync,37,128,49.097099180333316,8.883990256136713,24.812934367917478,26.274230977520347
sync,38,128,47.95030763372779,7.993454528420443,24.375077589415014,25.816165174357593
sync,39,128,46.45681053213775,7.654917185060185,25.520894845947623,26.95150781609118
sync,40,128,46.55994194280356,7.637055537544256,24.046285550110042,25.411193002015352
sync,41,128,46.50385730993003,7.371015939841527,23.676767704077065,25.172272636555135
sync,42,128,45.29785186704248,8.055594471395125,24.50681071728468,25.799903930164874
sync,43,128,46.04001738410443,6.894335729602062,22.886047990061343,24.26110523752868
sync,44,128,52.338217459619045,6.988069015735164,23.500854732468724,25.46175756584853
sync,45,128,43.97365983389318,6.845178022739674,23.629111152142286,24.994248998351395
sync,46,128,44.1809221515432,6.639021820875314,22.545928886160254,24.233504792675376
sync,47,128,44.10929914005101,6.4487841851723715,22.84846394788474,24.297164193354547
sync,48,128,45.03666946850717,6.826936859555644,22.680768504738808,24.3907212568447
sync,49,128,45.35595901682973,6.930141916692264,24.229070354253054,25.655158191919327
sync,50,128,46.8137742690742,7.02771863828184,23.20471667870879,24.6074948143214
sync,51,128,45.92454203404486,7.1789232662004,23.274923245422542,24.630558747798204
sync,52,128,44.27032795827836,6.343858682881546,23.487373248673975,24.990071234293282
sync,53,128,44.17489099968225,6.527039801988394,22.064178962260485,23.339768005535007
sync,54,128,43.44384633656591,6.377644564424372,23.465544528327882,24.57823903579265
sync,55,128,43.37479915469885,6.65123711414526,22.992661184631288,24.635354307480156
sync,56,128,44.08541364502162,6.499387418599326,23.369802200235426,24.746019604615867
sync,57,128,45.84712578449398,6.656905564039334,23.680461895652115,24.849865689873695
sync,58,128,43.26977435313165,6.365695350251372,23.164191992022097,24.666517038829625
sync,59,128,42.82869750633836,5.772602805281167,22.628706900402904,23.93919109366834
sync,60,128,41.56151697598398,5.4064729523470305,21.482035959139466,22.8564946167171
sync,61,128,42.206312977708876,5.133640338713121,21.257402192801237,22.955260938964784
sync,62,128,40.260574739426374,5.217239284195784,20.948986294679344,22.151536494493484
sync,63,128,42.25432496704161,5.35058406196822,22.292357360944152,23.97836810629815
sync,64,128,42.36148504912853,5.596003708731587,22.298173984512687,23.60406959988177
sync,65,128,42.502552601508796,6.015686567364355,21.77795638795942,23.19146919902414
sync,66,128,40.613231567665935,5.479313238543,20.91783891338855,22.35195941105485
sync,67,128,43.79352811537683,5.884808828031964,22.850561970844865,24.184742820449173
sync,68,128,43.384555857628584,6.077781261713426,22.855244264006615,24.78178485110402
sync,69,128,41.10680869873613,5.613019822688329,21.185956357046962,22.552845695987344
sync,70,128,41.93447343725711,5.680541311340676,21.60409383662045,23.124458000063896
sync,71,128,42.75259792804718,5.828961823617647,22.44541168026626,24.08839948102832
sync,72,128,43.01500962395221,5.900808559591496,22.6983400573954,24.065344404429197
sync,73,128,44.1554677663371,5.958869879415033,22.59281539451331,23.900802199728787
sync,74,128,44.23840149957687,6.48878808572772,23.029068037867546,24.19622932188213
sync,75,128,44.80450725648552,6.958882086191807,23.468534057959914,25.09867637231946
sync,76,128,44.45887967199087,6.555642075261858,23.165799812413752,24.849771009758115
sync,77,128,43.77881686575711,6.445080228068036,23.054571110755205,24.374493402428925
sync,78,128,43.456082202494144,6.431257055714923,22.93945066165179,24.255737342871726
sync,79,128,44.90282054618001,6.220705590629223,22.75342290941626,24.31028763949871
sync,80,128,45.09857283253223,6.412115316389645,23.04068233538419,24.245062769390643
sync,81,128,48.84880021587014,8.04627693369821,25.482861147262156,26.884370036423206
sync,82,128,43.38535140361637,6.655066733351305,23.02814414445311,24.37363530229777
sync,83,128,49.57948748487979,8.31830338644977,24.704644256271422,26.08808843791485
sync,84,128,51.07488450035453,8.581219198198596,25.95064064580947,27.087150032632053
sync,85,128,53.130018189549446,10.638065901391201,28.660815495066345,30.13116778805852
sync,86,128,54.41580215841532,10.345959332102211,28.684199476614594,30.674767492339015
sync,87,128,49.29873850662261,9.435378814779142,26.019104558043182,27.31160036381334
sync,88,128,52.249198507517576,10.22399561448492,27.692758230492473,28.981624206528068
sync,89,128,49.60433998890221,9.509292817521782,27.567736457102,28.872967119328678
sync,90,128,53.17942237947136,11.073352102604076,28.214724869467318,29.635418687015772
